trip_bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign_short,trip_headsign,block_id,shape_id,service_id,trip_id,direction_name
2,904,1,1,Coronado City Hall,Coronado City Hall,b_90401,904_1_18,62072,11309721,South
2,904,1,0,Ferry Landing,Ferry Landing,b_90401,904_0_20,62072,11309720,North
2,950,1,1,Iris TC Exp,Iris Transit Center Express,b_90501,950_3_13,62072,11309725,West
2,950,1,1,Iris TC Exp,Iris Transit Center Express,b_93303,950_3_13,62072,11309724,West
2,950,1,1,Iris TC Exp,Iris Transit Center Express,b_90501,950_3_13,62072,11309727,West
2,905,1,0,A Otay Mesa,A Otay Mesa,b_90501,905_2_68,62072,11309729,East
2,905,1,1,A Iris TC,A Iris Transit Center,b_90501,905_3_71,62072,11309728,West
2,816,1,1,El Caj TC,El Cajon Transit Ctr,b_81602,816_3_19,61927,11230078,West
2,816,1,1,El Caj TC,El Cajon Transit Ctr,b_81603,816_3_19,61927,11230079,West
2,31,1,0,Miramar College Sta,Miramar College Sta,b_210504,31_2_26,61972,11282024,East
2,4,1,0,Lomita Vlg,Lomita Village,b_100407,4_2_41,61972,11282998,East
2,60,1,0,Krny Msa Exp,Kearny Mesa Express,b_106001,60_0_11,61972,11282999,North
2,201,1,1,SuperLoop-UCSD,SuperLoop - UCSD,b_120102,201_9_12,61978,11296828,Counterclockwise
2,4,1,0,Lomita Vlg,Lomita Village,b_100406,4_2_41,61972,11282990,East
2,4,1,0,Lomita Vlg,Lomita Village,b_100406,4_2_41,61972,11282991,East
2,4,1,1,12th&Imperial,12th & Imperial,b_100407,4_3_44,61972,11282992,West
2,4,1,0,Lomita Vlg,Lomita Village,b_100407,4_2_41,61972,11282993,East
2,4,1,1,12th&Imperial,12th & Imperial,b_100407,4_3_42,61972,11282994,West
2,4,1,0,Lomita Vlg,Lomita Village,b_100407,4_2_41,61972,11282995,East
2,4,1,1,12th&Imperial,12th & Imperial,b_100407,4_3_42,61972,11282996,West
2,4,1,0,Lomita Vlg,Lomita Village,b_100407,4_2_41,61972,11282997,East
2,30,1,0,UTC/VA Med Ctr,UTC/VA Med Ctr,b_103002,30_0_202,61973,11286508,North
2,936,1,1,Spg Vly,Spring Valley,b_93603,936_1_43,61927,11229979,South
2,936,1,1,Spg Vly,Spring Valley,b_93602,936_1_43,61927,11229978,South
2,215,1,0,SDSU,SDSU,b_121510,215_2_10,61973,11286402,East
2,215,1,0,SDSU,SDSU,b_121509,215_2_10,61973,11286403,East
2,215,1,0,SDSU,SDSU,b_121504,215_2_10,61973,11286400,East
2,204,1,0,SuperLoop-UTC,SuperLoop - UTC,b_120103,204_8_3,61973,11286503,Clockwise
2,215,1,1,Dwtn,Downtown,b_121506,215_3_11,61972,11283433,West
2,204,1,0,SuperLoop-UTC,SuperLoop - UTC,b_120101,204_8_3,61973,11286502,Clockwise
2,215,1,0,SDSU,SDSU,b_121506,215_2_10,61973,11286406,East
2,201,1,1,SuperLoop-UCSD,SuperLoop - UCSD,b_120103,201_9_12,61978,11296823,Counterclockwise
2,215,1,0,SDSU,SDSU,b_121502,215_2_10,61973,11286407,East
2,204,1,0,SuperLoop-UTC,SuperLoop - UTC,b_120101,204_8_3,61973,11286500,Clockwise
2,215,1,1,Dwtn,Downtown,b_121502,215_3_11,61972,11283436,West
2,204,1,0,SuperLoop-UTC,SuperLoop - UTC,b_120102,204_8_3,61973,11286507,Clockwise
2,215,1,0,SDSU,SDSU,b_121502,215_2_10,61972,11283437,East
2,204,1,0,SuperLoop-UTC,SuperLoop - UTC,b_120101,204_8_3,61973,11286506,Clockwise
2,204,1,0,SuperLoop-UTC,SuperLoop - UTC,b_120104,204_8_3,61973,11286505,Clockwise
2,968,1,0,Munda&Ridgewood,Munda & Ridgewood,b_96801,968_8_31,61940,11235688,Clockwise
2,968,1,0,Munda&Ridgewood,Munda & Ridgewood,b_96801,968_8_31,61940,11235689,Clockwise
2,968,1,0,Munda&Ridgewood,Munda & Ridgewood,b_96801,968_8_31,61940,11235686,Clockwise
2,968,1,0,Munda&Ridgewood,Munda & Ridgewood,b_96801,968_8_31,61940,11235687,Clockwise
2,968,1,0,Munda&Ridgewood,Munda & Ridgewood,b_96801,968_8_31,61940,11235684,Clockwise
2,968,1,0,Munda&Ridgewood,Munda & Ridgewood,b_96801,968_8_31,61940,11235685,Clockwise
2,968,1,0,Munda&Ridgewood,Munda & Ridgewood,b_96801,968_8_31,61940,11235682,Clockwise
2,968,1,0,Munda&Ridgewood,Munda & Ridgewood,b_96801,968_8_31,61940,11235683,Clockwise
2,968,1,0,Munda&Ridgewood,Munda & Ridgewood,b_96801,968_8_31,61940,11235680,Clockwise
2,968,1,0,Munda&Ridgewood,Munda & Ridgewood,b_96801,968_8_31,61940,11235681,Clockwise
2,510,1,0,America Plaza,America Plaza,b_02,510_0_268,61969,11280264,North
2,510,1,0,America Plaza,America Plaza,b_03,510_0_268,61969,11280265,North
2,510,1,0,America Plaza,America Plaza,b_04,510_0_268,61969,11280266,North
2,510,1,0,America Plaza,America Plaza,b_05,510_0_268,61969,11280267,North
2,510,1,0,America Plaza,America Plaza,b_05,510_0_268,61969,11280260,North
2,510,1,0,America Plaza,America Plaza,b_06,510_0_268,61969,11280261,North
2,510,1,0,America Plaza,America Plaza,b_07,510_0_268,61969,11280262,North
2,510,1,0,America Plaza,America Plaza,b_01,510_0_268,61969,11280263,North
2,510,1,0,America Plaza,America Plaza,a_02,510_0_268,61188,11106902,North
2,510,1,1,San Ysidro,San Ysidro,a_02,510_1_250,61188,11106903,South
2,510,1,1,San Ysidro,San Ysidro,a_01,510_1_250,61188,11106900,South
2,510,1,1,San Ysidro,San Ysidro,a_02,510_1_250,61188,11106901,South
2,510,1,1,San Ysidro,San Ysidro,a_02,510_1_250,61188,11106906,South
2,510,1,0,America Plaza,America Plaza,b_07,510_0_268,61969,11280269,North
2,510,1,1,San Ysidro,San Ysidro,a_03,510_1_250,61188,11106904,South
2,510,1,1,San Ysidro,San Ysidro,a_03,510_1_250,61188,11106905,South
2,704,1,1,Palomar St TC,Palomar St Transit Center,b_70403,704_1_36,61940,11235354,South
2,704,1,1,Palomar St TC,Palomar St Transit Center,b_70405,704_1_36,61940,11235355,South
2,704,1,1,Palomar St TC,Palomar St Transit Center,b_70404,704_1_36,61940,11235356,South
2,704,1,1,Palomar St TC,Palomar St Transit Center,b_70401,704_1_36,61940,11235357,South
2,704,1,1,Palomar St TC,Palomar St Transit Center,b_70405,704_1_36,61940,11235350,South
2,704,1,1,Palomar St TC,Palomar St Transit Center,b_70404,704_1_36,61940,11235351,South
2,704,1,1,Palomar St TC,Palomar St Transit Center,b_70401,704_1_36,61940,11235352,South
2,704,1,1,Palomar St TC,Palomar St Transit Center,b_70402,704_1_36,61940,11235353,South
2,510,1,0,America Plaza,America Plaza,a_01,510_0_268,61189,11107057,North
2,510,1,0,America Plaza,America Plaza,a_06,510_0_268,61189,11107056,North
2,510,1,0,America Plaza,America Plaza,a_04,510_0_268,61189,11107055,North
2,510,1,0,America Plaza,America Plaza,a_02,510_0_268,61189,11107054,North
2,510,1,0,America Plaza,America Plaza,a_07,510_0_268,61189,11107053,North
2,510,1,0,America Plaza,America Plaza,a_05,510_0_268,61189,11107052,North
2,510,1,0,America Plaza,America Plaza,a_03,510_0_268,61189,11107051,North
2,510,1,0,America Plaza,America Plaza,a_02,510_0_268,61189,11107050,North
2,950,1,1,Iris TC Exp,Iris Transit Center Express,b_90602,950_3_13,61930,11233443,West
2,950,1,1,Iris TC Exp,Iris Transit Center Express,b_90501,950_3_13,61930,11233445,West
2,904,1,0,Ferry Landing,Ferry Landing,a_90403,904_0_17,60782,11103282,North
2,904,1,1,Coronado City Hall,Coronado City Hall,a_90403,904_1_16,60782,11103283,South
2,904,1,1,Coronado City Hall,Coronado City Hall,a_90403,904_1_16,60782,11103280,South
2,215,1,1,Dwtn,Downtown,a_121506,215_3_7,60827,11025911,West
2,3,1,0,UCSD Med Ctr/Hlcrst,UCSD Med Ctr/Hillcrest,a_303,3_0_80,60793,10991133,North
2,4,1,1,12th&Imperial,12th & Imperial,b_100403,4_3_42,61972,11282527,West
2,215,1,1,Dwtn,Downtown,a_121502,215_3_7,60827,11025912,West
2,4,1,1,12th&Imperial,12th & Imperial,b_100403,4_3_43,61972,11282521,West
2,215,1,1,Dwtn,Downtown,a_121501,215_3_7,60827,11025914,West
2,215,1,1,Dwtn,Downtown,a_121503,215_3_7,60827,11025917,West
2,4,1,0,Lomita Vlg,Lomita Village,b_100403,4_2_41,61972,11282522,East
2,945,1,0,Rcho Bdo Sta,Rancho Bernardo Sta,b_94502,945_0_10,61922,11228929,North
2,7,1,0,54th&Univ,54th & University,a_100720,7_0_215,60877,11031048,North
2,10,1,0,Univ&College,University & College,a_101006,10_2_39,60877,11031049,East
2,120,1,0,Krny Msa,Kearny Mesa,a_212001,120_0_76,60877,11031042,North
2,120,1,1,Dwtn,Downtown,a_212001,120_1_74,60877,11031043,South
2,120,1,0,Krny Msa,Kearny Mesa,a_212001,120_0_76,60877,11031040,North
2,120,1,1,Dwtn,Downtown,a_212001,120_1_74,60877,11031041,South
2,7,1,1,Dwtn,Downtown,a_100720,7_1_228,60877,11031046,South
2,7,1,0,54th&Univ,54th & University,a_100720,7_0_215,60877,11031047,North
2,120,1,0,Krny Msa,Kearny Mesa,a_212001,120_0_76,60877,11031044,North
2,7,1,0,54th&Univ,54th & University,a_100203,7_0_215,60877,11031045,North
2,30,1,1,Dwtn,Downtown,b_103004,30_1_212,61972,11283104,South
2,30,1,0,UTC/VA Med Ctr,UTC/VA Med Ctr,b_103010,30_0_216,61972,11283105,North
2,6,1,1,Fshn Vly,Fashion Valley,b_100602,6_3_56,61972,11283106,West
2,6,1,1,Fshn Vly,Fashion Valley,b_100602,6_3_56,61972,11283107,West
2,30,1,1,Dwtn,Downtown,b_103010,30_1_217,61972,11283100,South
2,30,1,0,UTC/VA Med Ctr,UTC/VA Med Ctr,b_103004,30_0_202,61972,11283101,North
2,30,1,1,Old Twn,Old Town,b_103004,30_1_211,61972,11283102,South
2,30,1,0,UTC/VA Med Ctr,UTC/VA Med Ctr,b_103004,30_0_202,61972,11283103,North
2,6,1,0,N. Pk/30th&Univ.,North Pk/30th & Univ.,b_100602,6_2_57,61972,11283108,East
2,6,1,1,Fshn Vly,Fashion Valley,b_100602,6_3_56,61972,11283109,West
2,COR,1,0,5th Ave Landing,5th Ave Landing,a_broferry,,61241,11118068,East
2,COR,1,0,5th Ave Landing,5th Ave Landing,a_broferry,,61241,11118069,East
2,COR,1,0,5th Ave Landing,5th Ave Landing,a_broferry,,61241,11118066,East
2,COR,1,0,5th Ave Landing,5th Ave Landing,a_broferry,,61241,11118067,East
2,COR,1,1,Coronado,Coronado,a_broferry,,61241,11118064,West
2,COR,1,0,5th Ave Landing,5th Ave Landing,a_broferry,,61241,11118065,East
2,COR,1,1,Coronado,Coronado,a_broferry,,61241,11118062,West
2,COR,1,1,Coronado,Coronado,a_broferry,,61241,11118063,West
2,COR,1,1,Coronado,Coronado,a_broferry,,61241,11118060,West
2,COR,1,1,Coronado,Coronado,a_broferry,,61241,11118061,West
2,235,1,0,Escondido,Escondido,a_223506,235_0_19,60827,11026393,North
2,88,1,0,Fshn Vly,Fashion Valley,b_8801,88_2_6,61921,11228363,East
2,88,1,0,Fshn Vly,Fashion Valley,b_8801,88_2_6,61921,11228362,East
2,88,1,0,Fshn Vly,Fashion Valley,b_8801,88_2_6,61921,11228361,East
2,88,1,0,Fshn Vly,Fashion Valley,b_8801,88_2_6,61921,11228360,East
2,88,1,0,Fshn Vly,Fashion Valley,b_8801,88_2_6,61921,11228367,East
2,88,1,0,Fshn Vly,Fashion Valley,b_8801,88_2_6,61921,11228366,East
2,88,1,0,Fshn Vly,Fashion Valley,b_8801,88_2_6,61921,11228365,East
2,88,1,0,Fshn Vly,Fashion Valley,b_8801,88_2_6,61921,11228364,East
2,202,1,0,SuperLoop-UCSD,SuperLoop - UCSD,b_120201,202_8_13,61976,11292762,Clockwise
